转发量,品类热度,流量推送,成交额
1402,7,5,194202
1077,3,4,91002
864,4,6,120502
930,4,7,84902
816,5,5,110004
1595,6,5,140004
1800,5,4,141002
1040,5,5,133002
1717,7,5,187502
970,5,6,132501
1100,4,5,141003
1431,7,5,192003
2108,6,7,235001
2344,7,5,265001
2263,8,5,287002
708,4,7,82504
1940,9,5,395195
773,5,5,110001
2728,9,5,437159
1560,7,5,201001
1795,5,5,131504
1002,5,6,148503
923,5,5,119501
1256,5,6,147505
789,5,5,96505
1128,5,5,118002
1855,6,7,187002
1768,7,5,224904
1196,6,8,110004
1742,8,5,275001
1484,6,5,174003
1098,5,7,135005
1746,9,5,377504
1144,5,6,143004
1720,7,5,183503
1215,6,7,155005
1230,5,6,110001
2020,8,5,239501
1486,5,7,167005
848,6,5,155902
1484,6,5,178903
1362,6,8,128003
2462,7,5,320005
1054,6,8,151001
1041,5,6,124503
1226,7,5,198901
1048,5,6,113004
1987,8,5,301503
1911,8,5,215001
1501,7,5,179405
858,4,6,110001
1646,8,5,293082
2201,6,7,274973
1768,7,5,226701
1533,7,5,280005
816,6,8,120504
996,5,6,108002
1194,6,6,148004
1674,6,7,185003
938,5,6,130251
1374,4,6,105003
1742,8,9,168004
1954,7,9,311501
1786,6,5,204753
1445,6,6,158005
1698,9,5,320001
1198,6,7,79902
1422,5,5,139905
1468,8,5,244604
2262,8,5,305004
1230,4,7,121602
1792,6,5,186501
2828,8,5,424874
972,6,6,132002
1668,9,5,285005
1236,6,7,149702
1728,6,5,150905
1904,5,4,138005
1095,6,5,140004
1456,5,3,91501
1097,5,5,145003
768,5,7,129504
845,4,3,84001
1368,6,7,114506
2167,7,7,294002
900,5,5,123001
932,6,5,124004
1426,7,8,189953
796,4,4,55002
2259,6,5,217004
1852,8,5,230003
616,5,7,89003
1218,6,5,113005
2452,8,5,309002
2020,5,5,144002
3222,7,5,320002
605,4,7,86001
1092,4,5,75002
894,5,8,138505
1347,5,7,107501
2084,7,5,233005
1694,8,5,318001
2345,6,8,239002
1422,6,6,175505
1214,5,5,143002
1382,5,6,128501
1902,6,5,112003
1416,7,5,155003
1839,7,5,221005
1358,7,5,207001
1363,5,7,164904
1050,5,6,128904
1092,4,5,83502
1459,7,5,192003
864,5,5,129904
2633,10,5,466501
1040,5,7,109502
630,4,7,81005
1395,6,6,162005
630,4,6,75505
1824,6,5,139001
1840,7,5,230003
2263,7,7,235002
1539,5,6,141504
864,4,6,97003
1060,5,8,154003
1411,7,5,82504
913,6,5,129001
2090,8,5,240001
1040,3,4,92901
1490,7,5,184003
1530,7,5,259004
1560,6,5,174001
2021,7,5,274728
882,4,6,103203
980,6,5,127502
1734,8,5,318004
2358,8,5,122002
882,5,5,112505
1453,7,5,190001
894,5,5,125003
1555,7,5,174001
1709,7,5,137505
894,3,4,81004
1466,5,8,170005
2076,10,5,465005
1756,6,5,204005
990,4,5,123602
1128,5,6,155005
1764,6,5,231502
1588,8,5,227004
1694,8,5,307003
1432,7,5,188505
1487,6,4,113001
1004,6,7,149001
1268,5,6,132002
1382,6,5,176002
1481,6,5,174005
1154,4,8,125502
861,4,5,82505
1144,5,6,129005
1768,8,5,212002
774,3,6,79003
1344,5,5,144003
816,6,5,118503
1218,6,5,91502
2138,5,5,106003
1287,5,7,162003
2643,9,5,380003
925,5,6,117501
1056,5,6,142004
1135,7,9,155002
1028,5,6,115002
848,6,5,140002
1158,6,7,120001
630,4,6,84502
2098,8,5,275504
907,4,6,109012
2555,6,7,191002
1768,4,5,136504
2090,7,6,200005
2144,6,7,277001
1228,5,6,149351
1039,5,4,131504
1190,5,6,132505
1796,6,5,140004
1552,6,6,179905
1218,6,6,131001
1663,4,6,256002
1578,8,5,287093
2054,6,5,244004
2126,5,5,185003
864,4,5,141001
1322,6,5,147004
2526,6,7,136002
2448,8,7,402004
1968,5,4,172004
767,7,5,133005
1550,7,5,241005
1660,6,7,188701
1935,7,7,197904
1576,5,6,223503
2093,7,6,215002
1574,8,5,232003
2403,7,7,244404
1416,5,8,153903
996,6,6,147004
1200,5,5,179002
948,4,5,111005
1163,3,8,126180
882,5,7,106503
988,4,5,91003
1610,6,7,205001
1360,8,5,187501
985,5,8,149904
1120,4,5,129005
1713,8,5,274901
2374,8,5,285001
1068,6,8,154503
1664,7,5,162904
2172,7,5,280004
1131,4,7,89474
1484,8,5,265903
2022,7,5,192003
1452,7,5,183905
1724,7,5,188001
1484,5,6,175002
1948,7,5,195005
1248,5,5,87003
1714,7,5,196501
2872,8,5,285004
1221,7,5,185001
1600,6,5,169003
1719,8,5,324002
1008,5,7,134502
1573,5,7,162903
1155,5,7,148002
1484,7,5,213003
1208,7,5,206002
1294,6,5,179202
958,6,5,128003
2158,6,7,243001
2019,7,8,167503
1337,6,5,181001
764,5,5,73003
1456,6,5,146003
1111,5,7,101004
1324,8,5,254005
1629,8,5,284004
1472,5,8,125004
864,5,8,129004
1554,8,5,209503
2296,10,5,451951
1505,6,4,149503
1958,7,5,250004
1795,8,5,147004
1484,6,6,128001
1178,4,7,102777
2715,8,9,299803
1372,7,5,250584
1309,6,6,181001
2727,8,8,315002
2080,7,9,234002
2058,6,5,129501
1073,5,7,156004
630,5,7,92005
1032,6,6,148002
1268,5,7,143501
1800,6,5,179003
2519,7,5,335005
1392,5,6,121502
1734,5,5,126003
1718,10,5,337504
2080,5,5,135003
1651,6,5,184001
1620,4,4,150002
1640,6,7,224005
2978,7,7,242002
1376,6,6,119503
1113,6,7,148004
1200,6,5,125001
1440,4,4,118005
1336,4,6,108001
1346,4,7,112003
1340,5,6,120002
1368,7,5,202667
1524,5,5,144004
1496,7,5,179670
1928,7,5,219501
2295,7,5,268001
3140,9,5,485005
1181,4,5,137501
1479,7,5,191001
1590,8,5,210005
936,5,7,129004
1040,5,5,133703
1414,7,5,178745
1790,7,5,193004
1869,9,5,318062
1630,7,5,213005
1339,5,6,139002
1666,8,7,161004
1478,6,5,157501
1539,5,8,157505
1080,6,7,136003
1656,5,5,135003
1040,5,5,124002
1573,7,5,227001
1320,5,6,164502
1240,7,5,194005
1194,6,6,159503
904,6,7,119004
1839,6,7,257502
1567,6,5,196005
1494,7,5,215002
1577,6,5,140203
2013,7,5,269791
833,5,7,117001
2380,6,5,129005
1456,8,5,215003
1734,6,7,159001
1152,5,7,180501
2046,8,5,372503
1152,4,5,82003
2183,7,5,229004
1340,7,5,181135
1567,8,5,264564
816,5,7,124504
1252,5,8,127002
2340,7,9,266504
1128,4,4,68404
1456,6,6,148502
1494,6,5,217002
2008,5,8,225002
987,6,5,100003
1626,7,5,175504
2207,7,5,180004
789,5,5,115001
1959,7,5,215004
1652,5,6,139003
928,5,6,112505
1118,6,8,116002
1632,6,8,173001
1969,7,6,190004
1895,7,5,194504
1165,6,7,174903
1767,7,7,239003
864,5,6,98005
904,1,1,61003
1040,4,5,90001
1125,6,6,125003
1320,7,5,162001
1456,7,5,155836
2020,10,5,402864
954,5,7,119751
1430,7,5,170004
1639,6,5,115003
803,5,6,87001
1446,7,5,175001
1700,6,5,200001
951,4,6,106505
1357,6,7,177001
1959,7,5,171005
1145,7,5,160202
2097,7,5,228005
1502,6,7,165001
1904,8,5,275003
1509,7,5,180001
2090,7,5,207504
816,5,7,129903
1334,6,5,167902
1708,7,5,130005
1844,6,5,223005
1661,6,6,165503
1913,6,6,177004
848,6,5,131502
1200,7,5,151005
1391,7,5,196001
1779,5,4,170005
1458,6,5,176005
1658,6,5,188002
1301,7,5,187751
1412,6,5,156937
1571,8,5,239001
1876,6,6,185002
2042,8,5,253296
768,5,8,133901
960,4,5,129005
1392,6,3,110005
1291,6,5,173004
1288,8,5,245502
2198,8,5,250001
894,5,6,128202
1252,7,5,160003
1200,7,5,144155
1015,5,7,88002
1774,7,5,129903
1828,9,5,314818
520,4,6,68505
1250,5,6,139002
3194,8,6,359103
1108,7,7,139402
1441,8,5,174004
924,4,4,80002
1056,5,5,145005
1306,3,2,76501
1378,7,9,161003
1067,4,7,128002
1478,6,3,156504
1690,6,5,181003
1236,5,7,135004
1786,7,5,223505
1026,6,6,147004
1338,8,5,213504
1111,5,6,95003
2320,6,8,259503
1456,6,5,172789
1298,6,5,180005
1152,6,8,158505
1342,6,5,161502
1211,5,5,134005
1665,7,6,205952
1406,6,7,89504
864,5,6,133502
1310,7,5,164994
1183,3,7,120005
3493,7,9,295002
2612,8,5,336001
1792,9,5,374002
1844,8,5,257004
944,3,3,82002
2358,6,8,240003
1646,8,5,275001
2127,7,5,271004
1792,5,5,136003
1505,5,5,145003
630,4,4,80005
1117,6,5,107003
864,5,7,115002
1644,5,7,146501
1479,7,9,184002
1337,6,5,153502
1728,5,5,142601
1983,7,5,225001
1724,6,5,197903
2365,8,5,337005
1113,5,7,147005
2466,8,5,340001
1850,9,5,326003
2792,6,7,256001
894,4,5,110005
2060,6,5,211001
987,6,5,83005
893,5,7,135001
2414,5,4,160001
1684,9,5,266003
1360,5,5,130002
1150,5,6,141005
894,5,5,142505
1922,9,5,377431
2087,6,8,187505
1844,6,6,190004
1646,8,5,248903
1992,8,5,250001
1200,7,5,151002
1824,6,6,180504
480,2,3,35314
1915,8,5,220004
882,5,5,97004
1850,7,6,248001
1200,6,5,177502
1159,5,5,158004
1566,8,5,262504
1269,5,6,155005
1820,7,6,201803
1506,7,5,213491
1479,6,8,130505
1442,7,5,179902
1668,8,5,232004
2784,7,5,250004
1360,5,6,125502
1344,4,6,97002
1750,5,6,124001
1716,5,4,131004
848,6,5,144502
1842,9,5,385002
1192,5,5,78001
1647,6,5,175003
1229,4,6,135002
1784,5,5,138888
1363,7,7,241503
1224,6,5,165002
1212,7,5,178004
1517,8,7,230005
1456,6,5,176005
2640,7,7,265980
2713,9,5,446265
2097,7,6,274304
1124,5,5,93003
1383,5,5,165001
334,1,3,39302
1132,4,5,176001
1867,5,5,190003
1933,6,5,214001
1146,7,5,187505
1535,5,5,118966
2945,10,5,438783
2596,9,5,342647
1092,4,4,88001
2256,7,5,236005
800,2,3,60004
2260,7,5,328003
1604,6,5,181004
1482,7,5,163901
952,5,7,139001
960,4,3,112004
1717,8,5,255501
912,5,6,144001
1626,7,5,173004
1605,3,6,107405
1855,6,4,136902
1500,7,5,246582
1304,5,6,115005
2872,6,7,272003
1344,5,4,115001
1301,5,5,100004
1429,6,6,181905
1148,5,7,123505
948,5,5,108002
1167,5,5,144003
2060,7,5,214004
1576,7,5,197004
1556,6,6,154003
848,6,5,144004
2634,5,5,200004
1336,5,5,157005
1314,7,5,207502
3082,7,3,197005
1811,6,7,230002
1696,5,5,143905
1796,6,5,211004
1600,8,5,256302
1020,5,8,94001
1839,6,5,155005
1861,7,5,200004
1944,9,5,360002
1476,6,5,173502
1845,6,5,189005
1355,6,7,127004
1510,4,5,108004
1620,9,5,315503
768,5,7,133001
858,4,4,88005
1466,5,4,149903
1894,7,5,214903
1069,6,5,127502
1072,6,5,140003
1144,5,6,131405
1498,7,5,204903
1121,5,6,139001
1005,4,5,115001
1771,5,4,115004
1558,5,5,152004
1977,6,6,165005
864,6,6,127504
752,6,5,125002
1652,9,5,325001
1123,4,5,100005
990,5,5,156003
1389,5,5,170003
1699,3,5,95003
1588,4,4,134436
1466,8,5,201004
1328,4,4,107002
1176,6,9,134904
2898,8,6,287005
1180,4,5,137504
1702,9,5,367296
825,5,7,125003
864,5,5,62387
1919,8,5,233234
1593,8,5,286002
1224,6,5,173734
1716,7,5,191002
2184,9,5,335002
1474,7,5,168503
1437,5,8,218001
1574,6,5,190002
1620,5,5,152004
1776,5,5,110001
864,4,6,120505
864,5,7,128501
1040,5,5,129502
858,5,5,134903
988,5,7,119003
960,4,9,145003
1691,5,6,127005
1414,8,5,178004
1004,6,5,135003
672,5,8,108002
1683,6,5,172501
1416,5,7,112004
1494,8,5,270004
1109,5,7,139005
1137,6,6,176003
1265,5,8,179903
1976,8,5,440002
1838,5,5,192142
1006,5,3,80003
784,5,6,109505
1614,7,5,221502
1328,5,6,170003
1040,5,7,150503
2810,8,5,302002
892,5,5,110004
1176,6,6,114502
1419,8,5,184103
1306,6,5,196005
2112,6,5,206905
2169,8,5,228501
884,5,7,144003
1661,7,5,224905
1656,7,5,165402
1502,7,5,233174
672,4,6,113001
1496,8,5,225004
3228,8,5,430002
816,5,9,130503
912,5,5,114504
988,6,5,180002
1523,6,5,180002
999,7,9,178405
1082,6,5,119202
2270,8,7,290004
1608,6,6,137453
1218,6,7,118005
2229,6,6,104002
1314,6,5,176436
1269,8,5,192005
2614,6,7,240003
1644,7,5,275001
1529,4,3,98004
1557,7,5,234001
1768,5,7,175003
1294,7,5,193882
1602,6,7,215005
1616,7,5,232003
2372,5,4,107504
1214,5,7,140002
1126,4,5,108004
1200,5,8,146003
1142,5,5,134003
1640,7,5,183005
1504,7,5,191005
790,6,5,91003
935,5,6,79501
1026,6,8,156003
2082,7,5,200004
1601,7,5,157004
1689,7,6,248329
1660,7,5,195005
1414,7,5,185504
1154,5,6,154003
1710,6,5,187003
2110,7,5,205001
2134,6,6,214502
1365,5,5,122503
1277,7,5,167004
1428,7,5,227683
813,6,8,110001
848,6,5,143002
936,5,5,140001
2610,8,5,303479
1573,4,7,133003
2520,7,5,290004
2031,8,5,237005
2057,7,7,250005
894,5,5,123002
1072,5,5,145002
1728,5,4,119001
816,5,8,138003
1099,5,6,144005
1688,6,5,200005
869,4,7,85504
1647,5,6,217503
1632,5,4,143001
1928,6,8,137003
1316,7,5,200144
1246,5,7,154003
1114,5,5,159002
1069,6,6,140003
1382,4,5,148004
1426,6,6,159501
2117,6,7,237501
1558,5,6,140003
1310,6,6,112002
1584,5,5,124005
1593,6,5,178004
1102,7,5,148801
1526,3,2,85001
1776,8,5,283465
1339,7,5,180004
1130,5,6,120001
912,5,5,125001
854,7,8,132002
1812,5,9,140002
1422,7,5,179604
1739,8,5,172505
958,6,6,143754
1818,7,4,169505
1266,7,5,159896
1317,4,4,40005
1126,5,6,175004
1140,4,7,96504
1362,6,5,163003
1047,4,7,100005
1470,6,6,177004
1674,7,5,216001
1622,4,4,168001
1964,5,6,130001
924,5,6,110004
1582,7,5,185904
792,5,8,109505
2290,8,5,255903
1040,4,5,109905
2624,6,6,239004
1852,7,5,252681
986,6,5,102005
1203,5,4,110002
1258,6,7,145005
1939,8,5,266005
1138,6,8,145003
990,5,5,138005
1199,6,5,153903
1694,6,5,136504
860,5,6,137002
1140,5,5,84501
2223,7,6,244001
1056,6,5,144002
1993,6,5,190004
841,4,4,82001
1440,6,7,182904
1475,5,6,127002
1250,5,7,116001
1616,6,7,152001
1800,9,5,239004
1721,6,5,201001
1902,7,8,335004
1494,7,5,221002
875,5,7,105004
1775,7,5,213003
4476,10,5,745001
1078,5,6,142126
1960,6,5,216503
1158,6,5,158002
2576,8,5,361923
1958,6,6,145003
955,5,7,127005
2285,8,5,248002
3447,8,9,381001
1262,6,5,185002
1863,7,5,219211
1656,6,5,215005
969,5,6,122003
1442,6,6,185001
1302,5,5,112001
935,5,6,137002
1912,6,7,163005
1501,6,5,165604
1381,6,7,197501
1065,5,5,126501
1635,6,7,210003
1865,7,5,235001
1208,4,5,103005
1726,7,5,311877
952,4,7,135751
1200,7,5,184901
1548,7,7,205004
990,5,5,126001
1680,5,6,136910
1856,9,2,394436
1224,6,8,115001
988,5,5,128502
1520,5,5,159437
2398,7,5,315752
1074,5,6,153504
1314,5,6,145002
1296,8,5,220004
1060,5,7,129901
1500,7,5,190003
1664,6,5,172405
848,6,5,149001
2153,9,5,313002
1363,4,7,125502
1092,4,5,55003
1248,7,5,167242
987,6,5,85401
965,5,5,119901
900,5,5,122001
1776,7,5,192502
1489,6,7,139502
1141,6,5,142505
2240,5,5,142958
912,4,5,80504
1432,5,7,194001
1564,6,6,171003
1733,3,5,139602
899,5,7,130002
1728,5,5,125003
1636,8,5,255003
1430,7,5,180003
1442,7,5,180503
1086,5,7,144904
1680,6,7,177002
1057,5,5,132002
1276,5,3,60003
1368,7,5,202505
1588,7,5,214001
894,5,5,129005
1052,6,7,155005
438,2,5,60004
1144,5,6,139951
1057,5,7,109003
2034,7,5,219503
1502,7,6,149005
1707,8,6,228003
1968,8,5,269501
1470,6,8,185005
1660,8,5,290002
1208,7,5,195403
1525,6,5,177004
1762,7,7,157003
1556,6,6,151004
1500,6,5,173903
1728,7,5,190002
1302,5,7,119505
936,4,4,93002
2243,7,5,225004
2332,10,5,426001
872,4,5,123003
1750,6,7,160005
1740,7,6,219504
1234,8,5,179904
2132,8,8,316603
1644,6,5,167004
1801,7,8,289002
838,6,7,130001
1343,5,6,154904
1479,7,5,226005
1316,6,5,169992
1284,5,7,110002
4316,10,6,755004
1029,4,5,118505
1888,6,6,190004
1766,9,5,370879
1348,6,5,155005
960,4,4,108503
1464,8,5,282923
1173,7,6,170002
1680,6,9,222002
1908,8,5,202904
1229,6,6,124004
2353,7,7,260003
1478,7,5,222004
2000,8,5,305903
1664,5,5,100004
1541,7,5,205004
968,5,6,100002
1302,5,5,106005
1073,5,6,108485
2234,9,5,501839
2031,7,5,222504
1647,6,4,128001
1632,6,6,139004
900,5,7,134801
864,5,8,99903
1634,8,5,250002
912,6,8,142005
1274,7,5,203003
1517,5,7,115001
1908,7,5,210005
924,5,7,122902
1522,5,5,102004
1924,8,5,280002
2113,8,6,350005
1561,9,5,277502
1489,8,5,232605
2320,5,6,169002
1718,7,5,185004
2504,9,5,325002
928,5,7,132001
1258,4,4,108964
845,4,6,129503
1053,5,7,150005
1352,6,7,158001
1080,6,5,134004
1504,7,5,181002
1382,7,5,165001
1734,7,5,260005
1692,7,5,224503
1547,7,5,215201
987,6,5,94501
1869,5,6,124905
1535,7,5,214004
1709,7,5,130004
2526,8,5,290003
864,4,7,124503
3238,8,5,410001
2630,8,5,315005
1656,8,5,249704
1502,8,5,212005
2287,7,4,225005
980,5,6,135002
1228,8,5,189002
848,6,5,136503
1721,5,6,180005
1096,6,5,79004
720,6,8,105902
1116,6,6,160004
1525,7,5,235004
2290,4,6,122503
2730,7,5,301005
1710,7,6,140005
1212,6,7,151001
1836,8,5,280003
1383,6,5,145254
2062,7,5,277002
1268,5,7,133005
1472,7,5,160003
1034,6,5,169904
1220,4,5,102001
1432,5,7,132004
1564,7,7,174501
1991,6,7,220001
2097,8,5,423002
1048,5,5,135004
1800,8,5,312501
1440,5,4,79001
1601,8,5,272005
2376,8,5,325303
943,5,5,135962
1376,5,5,105003
2028,8,5,369901
2149,7,5,239690
2324,9,5,345004
1752,9,5,319901
2002,5,6,145002
1928,5,8,160005
1225,4,5,128953
1626,7,5,154004
1482,6,8,140001
1709,6,5,130003
1971,7,5,253005
1718,8,5,297002
1134,5,7,135004
1092,6,7,145002
1050,5,6,136504
1494,6,7,177502
2696,7,5,383971
923,6,5,143001
1369,6,6,103602
1964,7,6,205001
1247,8,5,197005
1846,6,6,143001
2236,7,5,222005
3086,5,6,200504
1224,4,5,101804
1086,5,5,159953
1761,7,6,227877
999,5,5,134501
747,4,6,80001
1654,7,5,230001
1774,4,2,87005
2554,7,8,159503
2337,5,5,90001
902,5,6,125501
1787,8,5,275005
1501,7,5,204002
1264,5,5,167504
1003,6,6,142504
1040,4,5,132254
1679,6,5,193502
2161,8,5,325627
2035,7,5,222502
1241,7,5,199904
4676,10,5,184752
1126,5,5,160003
1524,7,6,260001
1458,6,5,97501
1188,5,5,142003
971,5,6,128504
892,5,5,100003
1324,6,5,160001
1196,4,7,109905
2291,7,5,230003
2822,9,5,582935
1236,5,6,134451
1829,7,6,237005
1271,5,5,135004
1506,9,5,264136
2230,4,5,118503
1920,7,6,170002
2078,8,5,339755
1981,4,3,135001
1235,5,3,98603
754,6,8,84504
864,5,7,127004
1364,7,5,185854
1738,4,4,104903
1456,7,5,179541
1077,5,6,118005
2392,10,5,386252
1308,5,7,160002
1344,5,5,98003
848,6,5,149305
2274,5,5,154302
2473,8,5,317003
1430,7,5,187104
1687,5,5,160004
2018,9,5,378505
1661,7,6,212003
3112,8,4,235004
1367,6,6,127502
2192,5,8,179504
1196,6,5,139003
864,4,5,111255
698,5,9,118003
901,4,7,107905
1252,6,7,235001
1848,6,7,207001
1625,8,5,235005
1970,8,5,281005
1689,6,5,127502
1509,6,5,175003
1689,8,5,271001
1166,7,5,190004
1344,5,7,147001
1092,6,5,88004
1582,5,5,190003
1056,5,7,139402
1250,7,5,164701
894,5,7,149904
987,6,6,106003
1982,7,6,228503
2036,7,5,375002
1258,6,5,105003
1094,6,5,155005
1350,6,5,168505
2794,8,5,403002
2217,8,6,268004
1063,5,5,128004
1244,6,6,150003
1419,8,6,392001
1675,6,5,181003
2007,10,5,310001
912,5,8,147002
1316,5,7,130002
1052,5,5,138504
2521,6,4,151401
1348,5,8,117005
1635,6,8,117005
1470,4,6,135002
1097,6,5,152002
1788,8,5,236501
1296,4,5,90003
1456,7,5,189003
950,5,5,119501
1530,7,5,260001
2121,9,5,415303
2520,8,7,310002
1563,8,5,245004
2418,7,5,341003
780,5,7,124905
1959,8,5,270001
1704,8,5,306002
1392,6,7,161753
1472,7,5,187505
1710,8,5,372403
1728,5,5,188002
1120,5,5,147002
2515,6,3,200629
784,6,3,76001
1302,7,5,176487
1167,6,6,173004
1012,6,5,118401
1436,7,5,210001
1400,6,7,149505
1220,7,5,194005
1437,5,6,168005
1960,5,5,124505
1328,6,5,143003
1223,7,5,147403
1671,6,5,173002
1872,7,5,241502
1868,5,7,197504
1573,6,5,177503
1889,7,4,122002
1251,6,6,160002
1217,6,6,120003
1978,7,5,176002
1355,5,7,127504
1056,5,6,139005
2868,9,5,556586
1804,7,5,189001
1668,7,5,180002
778,5,6,120504
1370,7,5,152003
1690,7,6,144004
1216,6,5,164001
1575,6,5,179205
1868,6,7,178005
1668,6,8,140005
904,5,7,109903
1253,6,5,157003
1362,6,5,194703
1743,6,6,175003
2704,8,7,345005
2084,10,5,385005
1511,6,5,185005
1352,7,5,208902
1947,7,5,254904
1603,6,5,175905
1744,7,7,194501
1456,6,5,163995
1820,7,6,184001
1358,7,5,224003
1792,7,5,231504
694,5,6,90354
1394,5,5,167505
1344,6,6,137504
1571,6,7,178003
1469,6,7,135005
1537,6,9,174002
2142,6,6,193502
954,5,5,132502
1621,7,7,202503
1586,6,5,181004
1536,7,5,214001
912,6,6,156002
894,5,7,130003
1412,6,5,175003
1709,9,5,328903
2364,9,5,611658
1720,7,5,196504
840,5,7,87002
1040,5,8,127005
1664,6,7,159002
1652,8,5,251003
1548,6,6,155002
1665,8,6,227005
1905,9,5,320001
1712,5,5,145003
1385,5,4,166002
1498,6,5,187501
958,6,8,151503
1922,7,5,198501
1629,8,5,270003
1112,5,3,85001
1148,5,5,132504
720,3,6,72505
948,4,6,119005
1482,7,9,143002
1253,7,5,176002
1279,6,6,171501
2094,7,5,263005
1680,7,5,213253
729,3,6,52005
1936,8,5,230503
1200,5,6,130505
3395,6,7,200001
2210,6,4,117503
1350,6,5,165005
1111,7,7,116903
1552,7,5,212904
1790,6,5,165155
894,5,5,109501
2574,8,5,276005
3279,8,5,538002
1306,5,7,153004
912,5,5,115005
720,4,5,34905
2668,9,5,412503
1285,5,5,127003
2392,8,5,348003
630,4,8,86003
1826,7,8,155001
1040,3,4,87502
1392,7,5,146003
864,6,6,120002
1838,9,5,315005
2136,5,3,137904
1473,5,8,143004
2524,8,5,278005
1217,7,5,173004
832,6,6,105504
1717,7,5,140005
1048,5,5,98303
1803,5,4,155003
1054,6,7,137503
2599,9,5,333170
804,5,7,119001
1204,6,5,162003
1442,6,6,157904
1164,7,5,140001
5642,10,5,160003
1452,4,5,113005
1504,7,5,203002
1114,6,5,155002
1266,7,5,176003
1513,5,8,137505
902,5,5,131002
1056,4,4,107004
1710,7,5,240005
1062,6,5,146802
1768,7,7,163004
2622,8,5,325002
1349,7,5,179001
864,4,5,115005
1732,6,5,178001
2417,8,5,260004
1078,5,6,149905
833,5,5,112002
1535,5,5,118860
747,4,5,79905
1464,5,6,175003
1632,7,5,176503
960,4,5,94755
1178,5,6,157004
874,5,6,130003
1428,7,5,182005
1440,4,3,150003
1752,8,7,164001
2156,7,7,262502
1192,4,4,135001
1630,8,5,295498
1370,8,5,202501
1262,6,8,181503
1125,5,5,155004
1725,7,6,197005
1923,7,5,190001
1572,5,4,186701
1077,5,2,67004
1022,5,4,85002
1090,5,5,157005
1786,5,6,228951
848,6,5,141004
1795,8,5,230001
691,5,6,86003
1285,6,5,143503
1252,6,6,142001
796,5,7,85004
1072,6,5,148005
1434,7,5,189003
2073,6,6,210003
1471,6,5,172505
3627,10,5,625005
1728,6,5,207503
1489,6,7,185751
2030,6,6,195005
1580,8,5,235133
1801,8,5,239901
1477,7,7,145002
1164,5,5,125004
1640,6,5,173002
1797,7,5,213501
1682,6,5,200504
1812,5,5,169501
1110,5,6,165503
1779,7,5,197903
2514,7,5,250001
1412,6,6,132502
1576,5,6,149003
1367,5,8,119002
2110,7,5,244002
2069,7,7,242001
1414,6,8,176502
1416,6,6,179901
1950,7,5,239004
1578,6,7,133004
2224,9,5,350001
1686,6,6,207505
1040,5,5,152004
981,6,5,143253
2200,5,7,145905
1053,5,7,145504
964,5,7,163504
864,3,3,67001
1441,6,6,148501
1824,7,5,302005
1362,5,5,143002
1624,8,5,262005
1962,7,5,239804
2263,8,5,258003
1646,7,5,164005
1283,5,7,140004
